Date	Time	Actual	Forecast	Previous
Jun 18 2009	7:00am	0.7	0.4	-0.1
May 20 2009	7:00am	-0.1	0.2	0.2
Apr 17 2009	7:00am	0.2	0.3	0.7
Mar 19 2009	7:00am	0.7	0.3	-0.3
Feb 20 2009	8:00am	-0.3	-0.2	-0.7
Jan 23 2009	8:00am	-0.7	-0.4	-0.3
Dec 19 2008	8:00am	-0.3	-0.7	-1.0
Nov 21 2008	8:00am	-1.0	-0.5	0.1
Oct 24 2008	7:00am	0.1	-0.1	-0.2
Sep 23 2008	7:00am	-0.2	-0.1	0.3
Aug 21 2008	7:00am	0.3	0.3	0.7
Jul 23 2008	7:00am	0.7	0.5	1.0
Jun 19 2008	7:00am	1.0	0.6	0.8
May 21 2008	8:00am	0.8	0.4	0.4
Apr 17 2008	7:00am	0.4	0.5	0.4
Mar 18 2008	7:00am	0.4	0.3	-0.2
Feb 19 2008	8:00am	-0.2	-0.1	0.1
Jan 25 2008	5:00am	0.1	0.1	0.3
